S000000027	YAL029C	MYO4	ORF	DOID:0060775	microvillus inclusion disease	ISS		HGNC:7603	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000880	YER078C	ICP55	ORF	DOID:0111117	nephronophthisis-like nephropathy 1	ISS		HGNC:28052	manually curated	24116217	Stames EM and O'Toole JF (2013) Mitochondrial aminopeptidase deletion increases chronological lifespan and oxidative stress resistance while decreasing respiratory metabolism in S. cerevisiae. PLoS One 8(10):e77234
S000000896	YER094C	PUP3	ORF	DOID:162	cancer	IGI		HGNC:9540	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000896	YER094C	PUP3	ORF	DOID:162	cancer	ISS		HGNC:9540	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000897	YER095W	RAD51	ORF	DOID:1612	breast cancer	IGI		HGNC:9817	manually curated	30283497	Maresca L, et al. (2018) Functional Interaction Between BRCA1 and DNA Repair in Yeast May Uncover a Role of RAD50, RAD51, MRE11A, and MSH6 Somatic Variants in Cancer Development. Front Genet 9:397
S000000897	YER095W	RAD51	ORF	DOID:1612	breast cancer	ISS		HGNC:9817	manually curated	30283497	Maresca L, et al. (2018) Functional Interaction Between BRCA1 and DNA Repair in Yeast May Uncover a Role of RAD50, RAD51, MRE11A, and MSH6 Somatic Variants in Cancer Development. Front Genet 9:397
S000000897	YER095W	RAD51	ORF	DOID:5426	primary ovarian insufficiency	IMP			manually curated	32772095	
S000000897	YER095W	RAD51	ORF	DOID:5426	primary ovarian insufficiency	ISS		HGNC:9817	manually curated	32772095	
S000000897	YER095W	RAD51	ORF	DOID:9256	colorectal cancer	ISS		HGNC:9817	manually curated	28173629	Kalimutho M, et al. (2017) Enhanced dependency of KRAS-mutant colorectal cancer cells on RAD51-dependent homologous recombination repair identified from genetic interactions in Saccharomyces cerevisiae. Mol Oncol 11(5):470-490
S000000914	YER112W	4,00 LSM	ORF	DOID:162	cancer	IGI		HGNC:17259	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000914	YER112W	4,00 LSM	ORF	DOID:162	cancer	ISS		HGNC:17259	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000927	YER125W	RSP5	ORF	DOID:0050477	Liddle syndrome	IGI		HGNC:7727	manually curated	12684839	Gajewska B, et al. (2003) Functional analysis of the human orthologue of the RSP5-encoded ubiquitin protein ligase, hNedd4, in yeast. Curr Genet 43(1):1-10
S000000927	YER125W	RSP5	ORF	DOID:0050477	Liddle syndrome	ISS		HGNC:7727	manually curated	12684839	Gajewska B, et al. (2003) Functional analysis of the human orthologue of the RSP5-encoded ubiquitin protein ligase, hNedd4, in yeast. Curr Genet 43(1):1-10
S000000935	YER133W	GLC7	ORF	DOID:162	cancer	IGI		HGNC:9281	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000935	YER133W	GLC7	ORF	DOID:162	cancer	IGI		HGNC:9283	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000935	YER133W	GLC7	ORF	DOID:162	cancer	ISS		HGNC:9281	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000935	YER133W	GLC7	ORF	DOID:162	cancer	ISS		HGNC:9283	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000938	YER136W	GDI1	ORF	DOID:162	cancer	IGI		HGNC:4227	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000938	YER136W	GDI1	ORF	DOID:162	cancer	ISS		HGNC:4227	manually curated	26354769	Hamza A, et al. (2015) Complementation of Yeast Genes with Human Genes as an Experimental Platform for Functional Testing of Human Genetic Variants. Genetics 201(3):1263-74
S000000950	YER148W	SPT15	ORF	DOID:0050967	spinocerebellar ataxia type 17	ISS		HGNC:11588	manually curated	11448935	Nakamura K, et al. (2001) SCA17, a novel autosomal dominant cerebellar ataxia caused by an expanded polyglutamine in TATA-binding protein. Hum Mol Genet 10(14):1441-8
S000000958	YER156C	MYG1	ORF	DOID:12306	vitiligo	IGI		HGNC:17590	manually curated	31081026	Grover R, et al. (2019) Myg1 exonuclease couples the nuclear and mitochondrial translational programs through RNA processing. Nucleic Acids Res 47(11):5852-5866
S000000958	YER156C	MYG1	ORF	DOID:12306	vitiligo	ISS		HGNC:17590	manually curated	31081026	Grover R, et al. (2019) Myg1 exonuclease couples the nuclear and mitochondrial translational programs through RNA processing. Nucleic Acids Res 47(11):5852-5866
S000000964	YER162C	RAD4	ORF	DOID:0050427	xeroderma pigmentosum	ISS		HGNC:12816	manually curated	1522891	Legerski R and Peterson C (1992) Expression cloning of a human DNA repair gene involved in xeroderma pigmentosum group C. Nature 359(6390):70-3
S000000966	YER164W	CHD1	ORF	DOID:10283	prostate cancer	IMP			manually curated	31222142	Boginya A, et al. (2019) The chromatin remodeler Chd1 regulates cohesin in budding yeast and humans. Sci Rep 9(1):8929
S000000966	YER164W	CHD1	ORF	DOID:10283	prostate cancer	ISS		HGNC:1915	manually curated	31222142	Boginya A, et al. (2019) The chromatin remodeler Chd1 regulates cohesin in budding yeast and humans. Sci Rep 9(1):8929
S000000970	YER168C	CCA1	ORF	DOID:0080209	sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay	IGI		HGNC:17341	manually curated	30959222	Leibovitch M, et al. (2019) Analysis of the pathogenic I326T variant of human tRNA nucleotidyltransferase reveals reduced catalytic activity and thermal stability in vitro linked to a conformational change. Biochim Biophys Acta Proteins Proteom 1867(6):616-626
S000000970	YER168C	CCA1	ORF	DOID:0080209	sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay	ISS		HGNC:17341	manually curated	30959222	Leibovitch M, et al. (2019) Analysis of the pathogenic I326T variant of human tRNA nucleotidyltransferase reveals reduced catalytic activity and thermal stability in vitro linked to a conformational change. Biochim Biophys Acta Proteins Proteom 1867(6):616-626
S000000970	YER168C	CCA1	ORF	DOID:8955	sideroblastic anemia	IGI		HGNC:17341	manually curated	25193871	Chakraborty PK, et al. (2014) Mutations in TRNT1 cause congenital sideroblastic anemia with immunodeficiency, fevers, and developmental delay (SIFD). Blood 124(18):2867-71
S000000970	YER168C	CCA1	ORF	DOID:8955	sideroblastic anemia	ISS		HGNC:17341	manually curated	25193871	Chakraborty PK, et al. (2014) Mutations in TRNT1 cause congenital sideroblastic anemia with immunodeficiency, fevers, and developmental delay (SIFD). Blood 124(18):2867-71
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	IGI		HGNC:3434	manually curated	7629061	Guzder SN, et al. (1995) Lethality in yeast of trichothiodystrophy (TTD) mutations in the human xeroderma pigmentosum group D gene. Implications for transcriptional defect in TTD. J Biol Chem 270(30):17660-3
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	IGI		HGNC:3434	manually curated	8413672	Sung P, et al. (1993) Human xeroderma pigmentosum group D gene encodes a DNA helicase. Nature 365(6449):852-5
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	IMP			manually curated	25500814	Herrera-Moyano E, et al. (2014) The rem mutations in the ATP-binding groove of the Rad3/XPD helicase lead to Xeroderma pigmentosum-Cockayne syndrome-like phenotypes. PLoS Genet 10(12):e1004859
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	ISS		HGNC:3434	manually curated	25500814	Herrera-Moyano E, et al. (2014) The rem mutations in the ATP-binding groove of the Rad3/XPD helicase lead to Xeroderma pigmentosum-Cockayne syndrome-like phenotypes. PLoS Genet 10(12):e1004859
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	ISS		HGNC:3434	manually curated	7629061	Guzder SN, et al. (1995) Lethality in yeast of trichothiodystrophy (TTD) mutations in the human xeroderma pigmentosum group D gene. Implications for transcriptional defect in TTD. J Biol Chem 270(30):17660-3
S000000973	YER171W	RAD3	ORF	DOID:0050427	xeroderma pigmentosum	ISS		HGNC:3434	manually curated	8413672	Sung P, et al. (1993) Human xeroderma pigmentosum group D gene encodes a DNA helicase. Nature 365(6449):852-5
S000000973	YER171W	RAD3	ORF	DOID:2960	photosensitive trichothiodystrophy	IGI		HGNC:3434	manually curated	7629061	Guzder SN, et al. (1995) Lethality in yeast of trichothiodystrophy (TTD) mutations in the human xeroderma pigmentosum group D gene. Implications for transcriptional defect in TTD. J Biol Chem 270(30):17660-3
S000000973	YER171W	RAD3	ORF	DOID:2960	photosensitive trichothiodystrophy	ISS		HGNC:3434	manually curated	7629061	Guzder SN, et al. (1995) Lethality in yeast of trichothiodystrophy (TTD) mutations in the human xeroderma pigmentosum group D gene. Implications for transcriptional defect in TTD. J Biol Chem 270(30):17660-3
S000000973	YER171W	RAD3	ORF	DOID:2962	Cockayne syndrome	IMP			manually curated	25500814	Herrera-Moyano E, et al. (2014) The rem mutations in the ATP-binding groove of the Rad3/XPD helicase lead to Xeroderma pigmentosum-Cockayne syndrome-like phenotypes. PLoS Genet 10(12):e1004859
S000000973	YER171W	RAD3	ORF	DOID:2962	Cockayne syndrome	ISS		HGNC:3434	manually curated	25500814	Herrera-Moyano E, et al. (2014) The rem mutations in the ATP-binding groove of the Rad3/XPD helicase lead to Xeroderma pigmentosum-Cockayne syndrome-like phenotypes. PLoS Genet 10(12):e1004859
S000000974	YER172C	2,00 BRR	ORF	DOID:0110366	retinitis pigmentosa 33	IMP			manually curated	27072132	Ledoux S and Guthrie C (2016) Retinitis Pigmentosa Mutations in Bad Response to Refrigeration 2 (Brr2) Impair ATPase and Helicase Activity. J Biol Chem 291(23):11954-65
S000000974	YER172C	2,00 BRR	ORF	DOID:0110366	retinitis pigmentosa 33	ISS		HGNC:30859	manually curated	27072132	Ledoux S and Guthrie C (2016) Retinitis Pigmentosa Mutations in Bad Response to Refrigeration 2 (Brr2) Impair ATPase and Helicase Activity. J Biol Chem 291(23):11954-65
S000000974	YER172C	2,00 BRR	ORF	DOID:10584	retinitis pigmentosa	IMP			manually curated	19878916	Zhao C, et al. (2009) Autosomal-dominant retinitis pigmentosa caused by a mutation in SNRNP200, a gene required for unwinding of U4/U6 snRNAs. Am J Hum Genet 85(5):617-27
S000000974	YER172C	2,00 BRR	ORF	DOID:10584	retinitis pigmentosa	ISS		HGNC:30859	manually curated	19878916	Zhao C, et al. (2009) Autosomal-dominant retinitis pigmentosa caused by a mutation in SNRNP200, a gene required for unwinding of U4/U6 snRNAs. Am J Hum Genet 85(5):617-27
S000000980	YER178W	PDA1	ORF	DOID:3649	pyruvate decarboxylase deficiency	IMP			manually curated	29445841	
S000000980	YER178W	PDA1	ORF	DOID:3649	pyruvate decarboxylase deficiency	ISS		HGNC:8806	manually curated	29445841	
S000000995	YHL003C	LAG1	ORF	DOID:684	hepatocellular carcinoma	ISS		HGNC:14076	manually curated	25333455	Lu X, et al. (2014) Knockout of the HCC suppressor gene Lass2 downregulates the expression level of miR-694. Oncol Rep 32(6):2696-702
S000000995	YHL003C	LAG1	ORF	DOID:684	hepatocellular carcinoma	ISS		HGNC:14076	manually curated	25735224	Su J, et al. (2015) Overexpression of a Novel Tumor Metastasis Suppressor Gene TMSG1/LASS2 Induces Apoptosis via a Caspase-dependent Mitochondrial Pathway. J Cell Biochem 116(7):1310-7
S000000995	YHL003C	LAG1	ORF	DOID:9352	type 2 diabetes mellitus	ISS		HGNC:14076	manually curated	29626628	Fan S, et al. (2018) Hepatocyte-specific deletion of LASS2 protects against diet-induced hepatic steatosis and insulin resistance. Free Radic Biol Med 120:330-341
S000000995	YHL003C	LAG1	ORF	DOID:9452	fatty liver disease	ISS		HGNC:14076	manually curated	29626628	Fan S, et al. (2018) Hepatocyte-specific deletion of LASS2 protects against diet-induced hepatic steatosis and insulin resistance. Free Radic Biol Med 120:330-341
S000001007	YHL015W	RPS20	ORF	DOID:1339	Diamond-Blackfan anemia	IMP			manually curated	32790018	Bhar S, et al. (2020) Expansion of germline RPS20 mutation phenotype to include Diamond-Blackfan anemia. Hum Mutat 41(11):1918-1930
S000001007	YHL015W	RPS20	ORF	DOID:1339	Diamond-Blackfan anemia	ISS		HGNC:10405	manually curated	32790018	Bhar S, et al. (2020) Expansion of germline RPS20 mutation phenotype to include Diamond-Blackfan anemia. Hum Mutat 41(11):1918-1930
S000001015	YHL023C	3,00 NPR	ORF	DOID:162	cancer	ISS		HGNC:14124	manually curated	23716719	Panchaud N, et al. (2013) Amino acid deprivation inhibits TORC1 through a GTPase-activating protein complex for the Rag family GTPase Gtr1. Sci Signal 6(277):ra42
S000001044	YHR002W	LEU5	ORF	DOID:12361	Graves' disease	IGI		HGNC:10986	manually curated	11158296	Prohl C, et al. (2001) The yeast mitochondrial carrier Leu5p and its human homologue Graves' disease protein are required for accumulation of coenzyme A in the matrix. Mol Cell Biol 21(4):1089-97
S000001044	YHR002W	LEU5	ORF	DOID:12361	Graves' disease	IMP		HGNC:10986	manually curated	11158296	Prohl C, et al. (2001) The yeast mitochondrial carrier Leu5p and its human homologue Graves' disease protein are required for accumulation of coenzyme A in the matrix. Mol Cell Biol 21(4):1089-97
S000001044	YHR002W	LEU5	ORF	DOID:12361	Graves' disease	ISS		HGNC:10986	manually curated	11158296	Prohl C, et al. (2001) The yeast mitochondrial carrier Leu5p and its human homologue Graves' disease protein are required for accumulation of coenzyme A in the matrix. Mol Cell Biol 21(4):1089-97
S000001047	YHR005C	GPA1	ORF	DOID:1858	McCune Albright syndrome	IMP			manually curated	17132542	Ooms LS, et al. (2006) Identification of a second-site suppressor mutation of the GTPase defect associated with McCune-Albright syndrome: a model using the yeast heterotrimeric G protein, GPA1. Arch Physiol Biochem 112(3):166-73
S000001047	YHR005C	GPA1	ORF	DOID:1858	McCune Albright syndrome	IMP			manually curated	24850831	Turcic K, et al. (2014) Three intragenic suppressors of a GTPase-deficient allele of GNAS associated with McCune-Albright syndrome. J Mol Endocrinol 52(3):321-31
S000001047	YHR005C	GPA1	ORF	DOID:1858	McCune Albright syndrome	ISS		HGNC:4392	manually curated	17132542	Ooms LS, et al. (2006) Identification of a second-site suppressor mutation of the GTPase defect associated with McCune-Albright syndrome: a model using the yeast heterotrimeric G protein, GPA1. Arch Physiol Biochem 112(3):166-73
S000001047	YHR005C	GPA1	ORF	DOID:1858	McCune Albright syndrome	ISS		HGNC:4392	manually curated	24850831	Turcic K, et al. (2014) Three intragenic suppressors of a GTPase-deficient allele of GNAS associated with McCune-Albright syndrome. J Mol Endocrinol 52(3):321-31
S000001049	YHR007C	ERG11	ORF	DOID:10283	prostate cancer	IGI		HGNC:2594	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000001049	YHR007C	ERG11	ORF	DOID:10283	prostate cancer	ISS		HGNC:2594	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000001049	YHR007C	ERG11	ORF	DOID:10652	Alzheimer's disease	IGI		HGNC:2594	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000001049	YHR007C	ERG11	ORF	DOID:10652	Alzheimer's disease	ISS		HGNC:2594	high-throughput	28542158	Yang F, et al. (2017) Identifying pathogenicity of human variants via paralog-based yeast complementation. PLoS Genet. 13(5):e1006779
S000001050	YHR008C	SOD2	ORF	DOID:10652	Alzheimer's disease	IMP			manually curated	27584980	
S000001050	YHR008C	SOD2	ORF	DOID:10652	Alzheimer's disease	ISS		HGNC:11180	manually curated	27584980	
S000001050	YHR008C	SOD2	ORF	DOID:14330	Parkinson's disease	IMP			manually curated	27584980	
S000001050	YHR008C	SOD2	ORF	DOID:14330	Parkinson's disease	ISS		HGNC:11180	manually curated	27584980	
S000001050	YHR008C	SOD2	ORF	DOID:162	cancer	IMP			manually curated	27584980	
S000001050	YHR008C	SOD2	ORF	DOID:162	cancer	ISS		HGNC:11180	manually curated	27584980	
S000001055	YHR013C	ARD1	ORF	DOID:0050781	Ogden syndrome	IGI		HGNC:18704	manually curated	24408909	Van Damme P, et al. (2014) A Saccharomyces cerevisiae model reveals in vivo functional impairment of the Ogden syndrome N-terminal acetyltransferase NAA10 Ser37Pro mutant. Mol Cell Proteomics 13(8):2031-41
S000001055	YHR013C	ARD1	ORF	DOID:0050781	Ogden syndrome	IGI		HGNC:18704	manually curated	27668839	
S000001055	YHR013C	ARD1	ORF	DOID:0050781	Ogden syndrome	ISS		HGNC:18704	manually curated	24408909	Van Damme P, et al. (2014) A Saccharomyces cerevisiae model reveals in vivo functional impairment of the Ogden syndrome N-terminal acetyltransferase NAA10 Ser37Pro mutant. Mol Cell Proteomics 13(8):2031-41
S000001055	YHR013C	ARD1	ORF	DOID:0050781	Ogden syndrome	ISS		HGNC:18704	manually curated	27668839	
S000001079	YHR037W	PUT2	ORF	DOID:0014667	disease of metabolism	IGI		HGNC:406	manually curated	8621661	Hu CA, et al. (1996) Cloning, characterization, and expression of cDNAs encoding human delta 1-pyrroline-5-carboxylate dehydrogenase. J Biol Chem 271(16):9795-800
S000001079	YHR037W	PUT2	ORF	DOID:0014667	disease of metabolism	IGI		HGNC:406	manually curated	9700195	Geraghty MT, et al. (1998) Mutations in the Delta1-pyrroline 5-carboxylate dehydrogenase gene cause type II hyperprolinemia. Hum Mol Genet 7(9):1411-5
S000001079	YHR037W	PUT2	ORF	DOID:0014667	disease of metabolism	ISS		HGNC:406	manually curated	8621661	Hu CA, et al. (1996) Cloning, characterization, and expression of cDNAs encoding human delta 1-pyrroline-5-carboxylate dehydrogenase. J Biol Chem 271(16):9795-800
S000001079	YHR037W	PUT2	ORF	DOID:0014667	disease of metabolism	ISS		HGNC:406	manually curated	9700195	Geraghty MT, et al. (1998) Mutations in the Delta1-pyrroline 5-carboxylate dehydrogenase gene cause type II hyperprolinemia. Hum Mol Genet 7(9):1411-5
S000001085	YHR043C	DOG2	ORF	DOID:162	cancer	IMP			manually curated	31481524	
S000001085	YHR043C	DOG2	ORF	DOID:162	cancer	ISS		HGNC:16818	manually curated	31481524	
S000001102	YHR060W	VMA22	ORF	DOID:0070267	congenital disorder of glycosylation type IIo	ISS		HGNC:28178	manually curated	26833332	Jansen JC, et al. (2016) CCDC115 Deficiency Causes a Disorder of Golgi Homeostasis with Abnormal Protein Glycosylation. Am J Hum Genet 98(2):310-21
S000001111	YHR069C	RRP4	ORF	DOID:0081175	short stature, hearing loss, retinitis pigmentosa, and distinctive facies	IMP			manually curated	34162742	
S000001111	YHR069C	RRP4	ORF	DOID:0081175	short stature, hearing loss, retinitis pigmentosa, and distinctive facies	ISS		HGNC:17097	manually curated	34162742	
S000001112	YHR070W	TRM5	ORF	DOID:0060536	mitochondrial complex I deficiency	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:0060536	mitochondrial complex I deficiency	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:0111139	mitochondrial complex III deficiency	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:0111139	mitochondrial complex III deficiency	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:11984	hypertrophic cardiomyopathy	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:11984	hypertrophic cardiomyopathy	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:12678	hypercalcemia	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:12678	hypercalcemia	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:3650	lactic acidosis	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:3650	lactic acidosis	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:3762	cytochrome-c oxidase deficiency disease	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:3762	cytochrome-c oxidase deficiency disease	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:699	mitochondrial myopathy	IMP			manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001112	YHR070W	TRM5	ORF	DOID:699	mitochondrial myopathy	ISS		HGNC:23141	manually curated	26189817	Powell CA, et al. (2015) TRMT5 Mutations Cause a Defect in Post-transcriptional Modification of Mitochondrial tRNA Associated with Multiple Respiratory-Chain Deficiencies. Am J Hum Genet 97(2):319-28
S000001132	YHR090C	YNG2	ORF	DOID:1749	squamous cell carcinoma	IMP			manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001132	YHR090C	YNG2	ORF	DOID:1749	squamous cell carcinoma	ISS		HGNC:14587	manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001132	YHR090C	YNG2	ORF	DOID:1909	melanoma	IMP			manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001132	YHR090C	YNG2	ORF	DOID:1909	melanoma	ISS		HGNC:14587	manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001132	YHR090C	YNG2	ORF	DOID:684	hepatocellular carcinoma	IMP			manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001132	YHR090C	YNG2	ORF	DOID:684	hepatocellular carcinoma	ISS		HGNC:14587	manually curated	30804473	Mouche A, et al. (2019) ING3 is required for ATM signaling and DNA repair in response to DNA double strand breaks. Cell Death Differ 26(11):2344-2357
S000001133	YHR091C	MSR1	ORF	DOID:0060275	pontocerebellar hypoplasia type 6	IGI		HGNC:21406	manually curated	22569581	Cassandrini D, et al. (2013) Pontocerebellar hypoplasia type 6 caused by mutations in RARS2: definition of the clinical spectrum and molecular findings in five patients. J Inherit Metab Dis 36(1):43-53
S000001133	YHR091C	MSR1	ORF	DOID:0060275	pontocerebellar hypoplasia type 6	ISS		HGNC:21406	manually curated	22569581	Cassandrini D, et al. (2013) Pontocerebellar hypoplasia type 6 caused by mutations in RARS2: definition of the clinical spectrum and molecular findings in five patients. J Inherit Metab Dis 36(1):43-53
S000001160	YHR118C	ORC6	ORF	DOID:0060306	Meier-Gorlin syndrome	IGI		HGNC:17151	manually curated	24137536	
S000001160	YHR118C	ORC6	ORF	DOID:0060306	Meier-Gorlin syndrome	ISS		HGNC:17151	manually curated	24137536	
S000001207	YHR164C	DNA2	ORF	DOID:0050569	Seckel syndrome	IMP			manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:0050569	Seckel syndrome	ISS		HGNC:2939	manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:0070009	Seckel syndrome 8	IMP			manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:0070009	Seckel syndrome 8	ISS		HGNC:2939	manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:10907	microcephaly	ISS		HGNC:2939	manually curated	31045292	Tarnauskaitė Ž, et al. (2019) Biallelic variants in DNA2 cause microcephalic primordial dwarfism. Hum Mutat 40(8):1063-1070
S000001207	YHR164C	DNA2	ORF	DOID:162	cancer	IMP			manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:162	cancer	ISS		HGNC:2939	manually curated	32544229	
S000001207	YHR164C	DNA2	ORF	DOID:2717	Bloom syndrome	IGI		HGNC:1058	manually curated	12826610	Imamura O and Campbell JL (2003) The human Bloom syndrome gene suppresses the DNA replication and repair defects of yeast dna2 mutants. Proc Natl Acad Sci U S A 100(14):8193-8
S000001207	YHR164C	DNA2	ORF	DOID:2717	Bloom syndrome	IGI		HGNC:2939	manually curated	12826610	Imamura O and Campbell JL (2003) The human Bloom syndrome gene suppresses the DNA replication and repair defects of yeast dna2 mutants. Proc Natl Acad Sci U S A 100(14):8193-8
